"NAME","S1903_C01_001E"
"Geographic Area Name","Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Mount Baldy-Wrightwood CCD, San Bernardino County, California","2513"
"Needles CCD, San Bernardino County, California","2886"
"Newberry Springs-Baker CCD, San Bernardino County, California","3827"
"Ontario CCD, San Bernardino County, California","195006"
"San Bernardino CCD, San Bernardino County, California","233983"
"Searles Valley CCD, San Bernardino County, California","883"
"Twentynine Palms-Yucca Valley CCD, San Bernardino County, California","27394"
"Victorville-Hesperia CCD, San Bernardino County, California","111996"
"Yucaipa CCD, San Bernardino County, California","18572"
"Alpine CCD, San Diego County, California","5693"
"Borrego Springs CCD, San Diego County, California","1369"
"Camp Pendleton CCD, San Diego County, California","6877"
"Fallbrook CCD, San Diego County, California","17294"
"Jamul CCD, San Diego County, California","4896"
"Laguna-Pine Valley CCD, San Diego County, California","1884"
"Mountain Empire CCD, San Diego County, California","2452"
"Oceanside-Escondido CCD, San Diego County, California","222603"
"Palomar-Julian CCD, San Diego County, California","2218"
"Pauma Valley CCD, San Diego County, California","2326"
"Ramona CCD, San Diego County, California","11637"
"San Diego CCD, San Diego County, California","832178"
"Valley Center CCD, San Diego County, California","7553"
"San Francisco CCD, San Francisco County, California","359673"
"Escalon CCD, San Joaquin County, California","4712"
"Linden-Farmington CCD, San Joaquin County, California","1936"
"Lockeford CCD, San Joaquin County, California","4127"
"Lodi CCD, San Joaquin County, California","29489"
"Manteca CCD, San Joaquin County, California","32666"
"Ripon CCD, San Joaquin County, California","5948"
"Stockton CCD, San Joaquin County, California","110664"
"Thornton CCD, San Joaquin County, California","4242"
"Tracy CCD, San Joaquin County, California","32943"
"Arroyo Grande CCD, San Luis Obispo County, California","30921"
"Atascadero CCD, San Luis Obispo County, California","17725"
"North Coast CCD, San Luis Obispo County, California","16317"
"Paso Robles CCD, San Luis Obispo County, California","19244"
"San Luis Obispo CCD, San Luis Obispo County, California","21110"
"Half Moon Bay CCD, San Mateo County, California","11091"
"San Mateo CCD, San Mateo County, California","144577"
"South San Francisco CCD, San Mateo County, California","106301"
"Carpinteria CCD, Santa Barbara County, California","6824"
"Cuyama CCD, Santa Barbara County, California","393"
"Guadalupe CCD, Santa Barbara County, California","2079"
"Lompoc CCD, Santa Barbara County, California","19027"
"Santa Barbara CCD, Santa Barbara County, California","68302"
"Santa Maria CCD, Santa Barbara County, California","39819"
"Solvang-Santa Ynez CCD, Santa Barbara County, California","8518"
"Diablo Range CCD, Santa Clara County, California","521"
"Lexington Hills CCD, Santa Clara County, California","1533"
"Llagas-Uvas CCD, Santa Clara County, California","1573"
"San Jose CCD, Santa Clara County, California","593313"
"South Santa Clara Valley CCD, Santa Clara County, California","35702"
"West Santa Clara CCD, Santa Clara County, California","2883"
"San Lorenzo Valley CCD, Santa Cruz County, California","9593"
"Santa Cruz CCD, Santa Cruz County, California","60635"
"Summit Road CCD, Santa Cruz County, California","1349"
"Watsonville CCD, Santa Cruz County, California","22535"
"West Santa Cruz CCD, Santa Cruz County, California","1644"
"Central Shasta CCD, Shasta County, California","4688"
"East Shasta CCD, Shasta County, California","2916"
"Redding CCD, Shasta County, California","60607"
"Sacramento Canyon CCD, Shasta County, California","717"
"Southwest Shasta CCD, Shasta County, California","1545"
"East Sierra CCD, Sierra County, California","962"
"West Sierra CCD, Sierra County, California","279"
"Butte Valley CCD, Siskiyou County, California","711"
"Dunsmuir CCD, Siskiyou County, California","912"
"Etna CCD, Siskiyou County, California","1529"
"Fort Jones CCD, Siskiyou County, California","781"
"Happy Camp CCD, Siskiyou County, California","856"
"Hornbrook-Hilt CCD, Siskiyou County, California","284"
"McCloud-Medicine Lake CCD, Siskiyou County, California","634"
"Montague CCD, Siskiyou County, California","1719"
"Mount Shasta CCD, Siskiyou County, California","3223"
"Tulelake CCD, Siskiyou County, California","409"
"Weed CCD, Siskiyou County, California","3133"
"Yreka CCD, Siskiyou County, California","5066"
"Dixon CCD, Solano County, California","6983"
"Fairfield-Suisun City CCD, Solano County, California","47700"
"Rio Vista CCD, Solano County, California","4630"
"Vacaville CCD, Solano County, California","35960"
"Vallejo CCD, Solano County, California","53794"
"Cloverdale-Geyserville CCD, Sonoma County, California","4930"
"Healdsburg CCD, Sonoma County, California","16540"
"Petaluma CCD, Sonoma County, California","48147"
"Russian River-Sonoma Coast CCD, Sonoma County, California","11023"
"Santa Rosa CCD, Sonoma County, California","79599"
"Sebastopol CCD, Sonoma County, California","11994"
"Sonoma CCD, Sonoma County, California","17106"
"Hughson CCD, Stanislaus County, California","4310"
"Modesto CCD, Stanislaus County, California","104049"
"Newman CCD, Stanislaus County, California","4013"
"Oakdale CCD, Stanislaus County, California","11391"
"Patterson CCD, Stanislaus County, California","7546"
"Salida CCD, Stanislaus County, California","6318"
"Turlock CCD, Stanislaus County, California","29147"
"Waterford CCD, Stanislaus County, California","4636"
"Westport CCD, Stanislaus County, California","1272"
"Live Oak CCD, Sutter County, California","3204"
"Meridian-Robbins CCD, Sutter County, California","552"
"South Sutter CCD, Sutter County, California","946"
"Sutter CCD, Sutter County, California","1234"
"Yuba City CCD, Sutter County, California","25570"
"Yuba City Southwest CCD, Sutter County, California","854"
"Corning CCD, Tehama County, California","5072"
"East Tehama CCD, Tehama County, California","1444"
"Red Bluff CCD, Tehama County, California","15696"
"West Tehama CCD, Tehama County, California","1813"
"Hayfork CCD, Trinity County, California","1353"
"Mad River CCD, Trinity County, California","385"
"Northwest Trinity CCD, Trinity County, California","995"
"Weaverville CCD, Trinity County, California","3063"
"Dinuba CCD, Tulare County, California","9269"
"Earlimart CCD, Tulare County, California","3822"
"Exeter CCD, Tulare County, California","8228"
"Ivanhoe CCD, Tulare County, California","2391"
"Lindsay CCD, Tulare County, California","5142"
"Orosi-Cutler CCD, Tulare County, California","4624"
"Pixley CCD, Tulare County, California","1808"
"Porterville CCD, Tulare County, California","21181"
"Springville-Johnsondale CCD, Tulare County, California","2389"
"Strathmore CCD, Tulare County, California","2219"
"Terra Bella CCD, Tulare County, California","1768"
"Tipton CCD, Tulare County, California","1859"
"Tulare CCD, Tulare County, California","21205"
"Visalia CCD, Tulare County, California","45891"
"Woodlake-Three Rivers CCD, Tulare County, California","4310"
"East Sonora-Phoenix Lake CCD, Tuolumne County, California","5596"
"Groveland CCD, Tuolumne County, California","2139"
"Sonora CCD, Tuolumne County, California","7198"
"Twain Harte-Tuolumne City CCD, Tuolumne County, California","7494"
"Camarillo CCD, Ventura County, California","24517"
"Fillmore CCD, Ventura County, California","5683"
"Las Posas CCD, Ventura County, California","1094"
"Los Padres CCD, Ventura County, California","239"
"Moorpark CCD, Ventura County, California","11677"
"Ojai-Mira Monte CCD, Ventura County, California","10855"
"Oxnard CCD, Ventura County, California","61935"
"Santa Paula CCD, Ventura County, California","9766"
"Simi Valley CCD, Ventura County, California","43741"
"Thousand Oaks CCD, Ventura County, California","58284"
"Triunfo Pass-Point Mugu CCD, Ventura County, California","821"
"Ventura CCD, Ventura County, California","42614"
"Clarksburg CCD, Yolo County, California","447"
"Davis CCD, Yolo County, California","27035"
"East Yolo CCD, Yolo County, California","18191"
"Esparto CCD, Yolo County, California","1791"
"Knights Landing CCD, Yolo County, California","1476"
"Winters CCD, Yolo County, California","3063"
"Woodland CCD, Yolo County, California","21507"
"East Yuba-Beale AFB CCD, Yuba County, California","1401"
"Linda CCD, Yuba County, California","6442"
"Marysville CCD, Yuba County, California","4738"
"Marysville Northeast CCD, Yuba County, California","2869"
"Olivehurst CCD, Yuba County, California","7057"
"Wheatland CCD, Yuba County, California","1595"
"Yuba Foothills CCD, Yuba County, California","2077"
